Geo Code,Geo Name,Line Number
"01","Canada",2
"10","Newfoundland and Labrador",422
"1001","Division No. 1",842
"1001105","Portugal Cove South, T",1262
"1001113","Trepassey, T",1682
"1001120","St. Shott's, T",2102
"1001124","Division No. 1, Subd. U, SNO",2522
"1001126","Cape Broyle, T",2942
"1001131","Renews-Cappahayden, T",3362
"1001136","Fermeuse, T",3782
"1001140","Port Kirwan, T",4202
"1001144","Aquaforte, T",4622
"1001149","Ferryland, T",5042
"1001155","Division No. 1, Subd. W, SNO",5462
"1001169","St. Vincent's-St. Stephen's-Peter's River, T",5882
"1001174","Gaskiers-Point La Haye, T",6302
"1001178","St. Mary's, T",6722
"1001181","Riverhead, T",7142
"1001186","Admirals Beach, T",7562
"1001192","St. Joseph's, T",7982
"1001197","Mount Carmel-Mitchells Brook-St. Catherine's, T",8402
"1001203","Division No. 1, Subd. X, SNO",8822
"1001207","Colinet, T",9242
"1001214","Division No. 1, Subd. C, SNO",9662
"1001219","Branch, T",10082
"1001225","Point Lance, T",10502
"1001228","St. Bride's, T",10922
"1001234","Division No. 1, Subd. B, SNO",11342
"1001240","Placentia, T",11762
"1001254","Fox Harbour, T",12182
"1001259","Division No. 1, Subd. A, SNO",12602
"1001263","Long Harbour-Mount Arlington Heights, T",13022
"1001267","Southern Harbour, T",13442
"1001270","Arnold's Cove, T",13862
"1001274","Come By Chance, T",14282
"1001277","Sunnyside, T",14702
"1001281","Chance Cove, T",15122
"1001285","Norman's Cove-Long Cove, T",15542
"1001289","Chapel Arm, T",15962
"1001293","Division No. 1, Subd. Y, SNO",16382
"1001298","Whitbourne, T",16802
"1001304","Division No. 1, Subd. E, SNO",17222
"1001308","Whiteway, T",17642
"1001312","Heart's Delight-Islington, T",18062
"1001316","Heart's Desire, T",18482
"1001321","Division No. 1, Subd. F, SNO",18902
"1001325","Heart's Content, T",19322
"1001328","New Perlican, T",19742
"1001332","Winterton, T",20162
"1001335","Hant's Harbour, T",20582
"1001339","Division No. 1, Subd. G, SNO",21002
"1001343","Old Perlican, T",21422
"1001347","Bay de Verde, T",21842
"1001352","Small Point-Adam's Cove-Blackhead-Broad Cove, T",22262
"1001357","Division No. 1, Subd. H, SNO",22682
