Station,City,Latitude,Longitude,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport,Cluster
"('Lyon',)",Ottawa,45.4185178,-75.7050153062003,1.0,2.0,14.000000000000002,2.0,4.0,47.0,12.0,16.0,0
"('Parliament',)",Ottawa,45.421389,-75.698889,2.0,0.0,19.0,3.0,4.0,46.0,23.0,3.0,0
"('Rideau',)",Ottawa,45.327995,-75.7015205195695,0.0,1.0,15.0,2.0,8.0,49.0,18.0,6.0,0
"('Bloor-Yonge',)",Toronto,43.6708116,-79.3868474,1.0,3.0,13.0,1.0,3.0,49.0,26.0,4.0,0
"('King',)",Toronto,43.6485227,-79.3777728,2.0,1.0,17.0,4.0,4.0,45.0,20.0,8.0,0
"('Osgoode',)",Toronto,43.6508016,-79.3865409,7.000000000000001,1.0,19.0,5.0,9.0,37.0,9.0,15.0,0
"(""Queen's Park"",)",Toronto,43.6599803,-79.3903686,2.0,11.0,21.0,1.0,2.0,47.0,14.000000000000002,4.0,0
"('St-Andrew',)",Toronto,43.6477917,-79.3848711,2.0,2.0,20.0,3.0,2.0,50.0,15.0,6.0,0
"('St-George',)",Toronto,43.6686414,-79.3980188266405,10.0,21.0,11.0,4.0,4.0,33.0,12.0,6.0,0
"('St-Patrick',)",Toronto,43.6548199,-79.3882736,2.0,3.0,26.0,1.0,2.0,46.0,16.0,4.0,0
"('Bayview',)",Ottawa,45.40922985,-75.7223233348046,6.0,1.0,16.0,7.000000000000001,6.0,26.0,32.0,7.000000000000001,1
"('Blair',)",Ottawa,45.43102625,-75.6084155917605,1.0,1.0,27.0,1.0,4.0,20.0,36.0,10.0,1
"('Cyrville',)",Ottawa,45.42274495,-75.6263724787208,2.0,0.0,9.0,2.0,2.0,33.0,40.0,12.0,1
"('Pimisi',)",Ottawa,45.41359235,-75.7137263526821,15.0,1.0,22.0,1.0,13.0,19.0,18.0,10.0,1
"('College',)",Toronto,43.6606617,-79.3827952,4.0,2.0,24.0,3.0,4.0,28.000000000000004,28.999999999999996,7.000000000000001,1
"('Dundas',)",Toronto,43.6565367,-79.3810223,8.0,3.0,31.0,3.0,5.0,22.0,25.0,3.0,1
"('Wellesley',)",Toronto,43.665403,-79.3836001,4.0,1.0,25.0,6.0,3.0,16.0,38.0,7.000000000000001,1
"('Hurdman',)",Ottawa,45.4123353,-75.6644248629215,2.0,11.0,15.0,3.0,14.000000000000002,16.0,15.0,25.0,2
"('Lees',)",Ottawa,45.41628455,-75.6705328155996,4.0,15.0,18.0,4.0,13.0,16.0,12.0,19.0,2
"('Tremblay',)",Ottawa,45.4169328,-75.6533478956841,2.0,1.0,20.0,0.0,5.0,16.0,25.0,30.0,2
"('Spadina',)",Toronto,43.6672349,-79.4036863,2.0,7.000000000000001,14.000000000000002,3.0,3.0,24.0,13.0,34.0,2
"('Union',)",Toronto,43.64469,-79.3799656881095,4.0,0.0,26.0,4.0,1.0,19.0,13.0,32.0,2
"('Queen',)",Toronto,43.6529083,-79.3794575,5.0,0.0,19.0,3.0,2.0,16.0,52.0,4.0,3
"('St-Laurent',)",Ottawa,45.42060535,-75.6381883748524,2.0,1.0,19.0,0.0,1.0,4.0,73.0,1.0,4
"('uOttawa',)",Ottawa,45.42067725,-75.6824664439384,1.0,68.0,9.0,3.0,5.0,7.000000000000001,4.0,3.0,5
"('Museum',)",Toronto,43.667097,-79.3936065,24.0,23.0,9.0,3.0,8.0,22.0,9.0,3.0,6
