,City,Latitude,Longitude,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
Bayview,Ottawa,45.40922985,-75.72232333,6.0,1.0,16.0,7.000000000000001,6.0,26.0,32.0,7.000000000000001
Blair,Ottawa,45.43102625,-75.60841559,1.0,1.0,27.0,1.0,4.0,20.0,36.0,10.0
Cyrville,Ottawa,45.42274495,-75.62637248,2.0,0.0,9.0,2.0,2.0,33.0,40.0,12.0
Hurdman,Ottawa,45.4123572,-75.66431973,2.0,11.0,15.0,3.0,14.000000000000002,16.0,15.0,25.0
Lees,Ottawa,45.41636625,-75.67053852,3.0,15.0,17.0,3.0,13.0,17.0,12.0,19.0
Lyon,Ottawa,45.4185178,-75.70501531,1.0,2.0,14.000000000000002,2.0,4.0,47.0,12.0,16.0
Parliament,Ottawa,45.421389000000005,-75.69888900000001,2.0,0.0,19.0,3.0,4.0,46.0,23.0,3.0
Pimisi,Ottawa,45.41359235,-75.71372635,15.0,1.0,22.0,1.0,13.0,19.0,18.0,10.0
Rideau,Ottawa,45.15227215,-75.65026926,2.0,1.0,16.0,6.0,28.000000000000004,12.0,30.0,5.0
St-Laurent,Ottawa,45.42060535,-75.63818837,2.0,1.0,19.0,0.0,1.0,4.0,73.0,1.0
Tremblay,Ottawa,45.4169328,-75.6533479,2.0,1.0,20.0,0.0,5.0,16.0,25.0,30.0
uOttawa,Ottawa,45.4205298,-75.68228049,1.0,64.0,8.0,3.0,5.0,10.0,6.0,3.0
Bloor-Yonge,Toronto,43.6708116,-79.38684740000001,1.0,3.0,13.0,1.0,3.0,49.0,26.0,4.0
College,Toronto,43.660661700000006,-79.3827952,4.0,2.0,24.0,3.0,4.0,28.000000000000004,28.999999999999996,7.000000000000001
Dundas,Toronto,43.656536700000004,-79.3810223,8.0,3.0,32.0,3.0,5.0,22.0,25.0,3.0
King,Toronto,43.6485227,-79.3777728,2.0,1.0,16.0,4.0,4.0,45.0,20.0,8.0
Museum,Toronto,43.667097,-79.39360649999999,24.0,23.0,9.0,3.0,7.000000000000001,22.0,9.0,3.0
Osgoode,Toronto,43.6508016,-79.38654090000001,7.000000000000001,1.0,19.0,5.0,9.0,36.0,9.0,15.0
Queen,Toronto,43.6529083,-79.3794575,5.0,0.0,19.0,3.0,2.0,16.0,52.0,4.0
Queen's Park,Toronto,43.659980299999994,-79.3903686,2.0,11.0,21.0,1.0,2.0,47.0,14.000000000000002,4.0
Spadina,Toronto,43.6672349,-79.4036863,2.0,7.000000000000001,14.000000000000002,3.0,3.0,24.0,13.0,34.0
St-Andrew,Toronto,43.6477917,-79.38487109999998,2.0,2.0,20.0,3.0,2.0,51.0,15.0,6.0
St-George,Toronto,43.6686414,-79.39801883,10.0,21.0,11.0,4.0,4.0,33.0,12.0,6.0
St-Patrick,Toronto,43.6548199,-79.38827359999999,2.0,3.0,26.0,1.0,2.0,46.0,16.0,4.0
Union,Toronto,43.644690000000004,-79.37996569,4.0,0.0,26.0,4.0,1.0,19.0,13.0,32.0
Wellesley,Toronto,43.665403000000005,-79.3836001,4.0,1.0,25.0,6.0,3.0,16.0,38.0,7.000000000000001
